page_id,link_number,link_url,link_text,link_title,is_external
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,1,https://www.geeksforgeeks.org/,,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,2,https://www.geeksforgeeks.org/dsa/dsa-tutorial-learn-data-structures-and-algorithms/,DSA,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,3,https://www.geeksforgeeks.org/explore,Practice Problems,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,4,https://www.geeksforgeeks.org/c/c-programming-language/,C,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,5,https://www.geeksforgeeks.org/cpp/c-plus-plus/,C++,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,6,https://www.geeksforgeeks.org/java/java/,Java,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,7,https://www.geeksforgeeks.org/python/python-programming-language-tutorial/,Python,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,8,https://www.geeksforgeeks.org/javascript/javascript-tutorial/,JavaScript,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,9,https://www.geeksforgeeks.org/data-science/data-science-for-beginners/,Data Science,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,10,https://www.geeksforgeeks.org/machine-learning/machine-learning/,Machine Learning,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,11,https://www.geeksforgeeks.org/courses,Courses,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,12,https://www.geeksforgeeks.org/linux-unix/linux-tutorial/,Linux,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,13,https://www.geeksforgeeks.org/devops/devops-tutorial/,DevOps,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,14,https://www.geeksforgeeks.org/courses/dsa-self-paced,DSA Online,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,15,https://www.geeksforgeeks.org/courses/data-science-live,Master DS & ML,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,16,https://www.geeksforgeeks.org/connect/home,Explore Now,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,17,https://www.geeksforgeeks.org/courses/interviewe-101-data-structures-algorithm-system-design/,4.9Tech Interview 101 - DSA and System DesignBeginner to Advanced399k+ interested GeeksGet 90% Refund,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,18,https://www.geeksforgeeks.org/courses/Java-backend-live/,4.6Java Backend Development with AI - LiveIntermediate and Advanced395k+ interested GeeksGet 90% Refund,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,19,https://www.geeksforgeeks.org/courses/generative-ai-training-program/,5.0Generative AI Training Program - LiveBeginner to Advanced42k+ interested GeeksGet 90% Refund,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,20,https://www.geeksforgeeks.org/courses/devops-live/,4.7DevOps Engineering with AI : Planning to ProductionBeginner to Advanced157k+ interested GeeksGet 90% Refund,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,21,https://www.geeksforgeeks.org/courses/cpp-programming-basic-to-advanced/,4.7C++ Programming - Self PacedBeginner to Advanced315k+ interested GeeksGet 90% Refund,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,22,https://www.geeksforgeeks.org/courses/java-online-course-complete-beginner-to-advanced/,4.6Java Programming - Self PacedBeginner to Advanced423k+ interested GeeksGet 90% Refund,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,23,https://www.geeksforgeeks.org/jobs,Jobs for you,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,24,https://www.geeksforgeeks.org/gfg-hiring-solutions-for-recruiters/,Hire with us,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,25,https://www.geeksforgeeks.org/advertise-with-us/,Advertise with Us,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,26,https://www.geeksforgeeks.org/campus-training-program/,Placement Training Program,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,27,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/,Data Structure and AlgorithmsView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,28,https://www.geeksforgeeks.org/web-development/,Web DevelopmentView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,29,https://www.geeksforgeeks.org/ai-ml-ds/,AI ML & Data ScienceView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,30,https://www.geeksforgeeks.org/machine-learning/,Machine LearningView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,31,https://www.geeksforgeeks.org/python-programming-language/,PythonView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,32,https://www.geeksforgeeks.org/system-design-tutorial/,System DesignView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,33,https://www.geeksforgeeks.org/devops-tutorial/,DevOpsView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,34,https://www.geeksforgeeks.org/computer-science-fundamentals/programming-language-tutorials/,Programming LanguagesView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,35,https://www.geeksforgeeks.org/software-engineering/articles-on-computer-science-subjects-gq/,CS SubjectsView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,36,https://www.geeksforgeeks.org/blogs/geeksforgeeks-practice-best-online-coding-platform/,Practice DSAView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,37,https://www.geeksforgeeks.org/interview-prep/interview-corner/,Interview PreparationView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,38,https://www.geeksforgeeks.org/sql/guide-to-databases/,DatabasesView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,39,https://www.geeksforgeeks.org/websites-apps/software-and-tools-a-to-z-list/,Software & ToolsView more,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,40,https://www.geeksforgeeks.org/design-and-analysis-of-algorithms/,Analysis of Algorithms,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,41,https://www.geeksforgeeks.org/array-data-structure/,Array,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,42,https://www.geeksforgeeks.org/data-structures/linked-list/,Linked List,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,43,https://www.geeksforgeeks.org/searching-algorithms/,Searching Algorithms,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,44,https://www.geeksforgeeks.org/stack-data-structure/,Stack,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,45,https://www.geeksforgeeks.org/sorting-algorithms/,Sorting Algorithms,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,46,https://www.geeksforgeeks.org/hashing-data-structure/,Hashing,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,47,https://www.geeksforgeeks.org/graph-data-structure-and-algorithms/,Graph,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,48,https://in.linkedin.com/company/geeksforgeeks,,,True
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,49,https://www.instagram.com/geeks_for_geeks/,,,True
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,50,https://twitter.com/geeksforgeeks,,,True
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,51,https://www.facebook.com/geeksforgeeks.org/,,,True
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,52,https://www.youtube.com/geeksforgeeksvideos,,,True
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,53,https://geeksforgeeksapp.page.link/gfg-app,,,True
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,54,https://www.geeksforgeeks.org/about/,About Us,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,55,https://www.geeksforgeeks.org/legal/,Legal,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,56,https://www.geeksforgeeks.org/legal/privacy-policy/,Privacy Policy,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,57,https://www.geeksforgeeks.org/jobs?search=geeksforgeeks&tab_type=featured,Careers,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,58,https://www.geeksforgeeks.org/about/contact-us/,Contact Us,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,59,https://www.geeksforgeeks.org/gfg-corporate-solution/,Corporate Solution,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,60,https://www.geeksforgeeks.org/problem-of-the-day,POTD,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,61,https://www.geeksforgeeks.org/explore?page=1&sortBy=submissions,Practice Problems,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,62,https://www.geeksforgeeks.org/category/blogs/?type=recent,Blogs,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,63,https://www.geeksforgeeks.org/web-tech/web-technology/,Web Technology,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,64,https://www.geeksforgeeks.org/machine-learning/ai-ml-and-data-science-tutorial-learn-ai-ml-and-data-science/,"AI, ML & Data Science",,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,65,https://www.geeksforgeeks.org/gate/gate-exam-tutorial/,CS Core Subjects,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,66,https://www.geeksforgeeks.org/gfg-academy/geeksforgeeks-school/,School Subjects,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,67,https://www.geeksforgeeks.org/courses/category/machine-learning-data-science,ML and Data Science,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,68,https://www.geeksforgeeks.org/courses/category/dsa-placements,DSA and Placements,,False
7c4eeb7b-c33c-4c9d-a9fd-5341f22a3ce5,69,https://www.geeksforgeeks.org/courses/category/development-testing,Web Development,,False
