page_id,link_number,link_url,link_text,link_title,is_external
f8e90398-ad70-4a16-b42b-e07b1a2500d9,44,https://www.geeksforgeeks.org/stack-data-structure/,Stack,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,45,https://www.geeksforgeeks.org/sorting-algorithms/,Sorting Algorithms,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,46,https://www.geeksforgeeks.org/hashing-data-structure/,Hashing,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,47,https://www.geeksforgeeks.org/graph-data-structure-and-algorithms/,Graph,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,48,https://in.linkedin.com/company/geeksforgeeks,,,True
f8e90398-ad70-4a16-b42b-e07b1a2500d9,49,https://www.instagram.com/geeks_for_geeks/,,,True
f8e90398-ad70-4a16-b42b-e07b1a2500d9,50,https://twitter.com/geeksforgeeks,,,True
f8e90398-ad70-4a16-b42b-e07b1a2500d9,51,https://www.facebook.com/geeksforgeeks.org/,,,True
f8e90398-ad70-4a16-b42b-e07b1a2500d9,52,https://www.youtube.com/geeksforgeeksvideos,,,True
f8e90398-ad70-4a16-b42b-e07b1a2500d9,53,https://geeksforgeeksapp.page.link/gfg-app,,,True
f8e90398-ad70-4a16-b42b-e07b1a2500d9,54,https://www.geeksforgeeks.org/about/,About Us,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,55,https://www.geeksforgeeks.org/legal/,Legal,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,56,https://www.geeksforgeeks.org/legal/privacy-policy/,Privacy Policy,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,57,https://www.geeksforgeeks.org/jobs?search=geeksforgeeks&tab_type=featured,Careers,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,58,https://www.geeksforgeeks.org/about/contact-us/,Contact Us,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,59,https://www.geeksforgeeks.org/gfg-corporate-solution/,Corporate Solution,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,60,https://www.geeksforgeeks.org/problem-of-the-day,POTD,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,61,https://www.geeksforgeeks.org/explore?page=1&sortBy=submissions,Practice Problems,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,62,https://www.geeksforgeeks.org/category/blogs/?type=recent,Blogs,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,63,https://www.geeksforgeeks.org/web-tech/web-technology/,Web Technology,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,64,https://www.geeksforgeeks.org/machine-learning/ai-ml-and-data-science-tutorial-learn-ai-ml-and-data-science/,"AI, ML & Data Science",,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,65,https://www.geeksforgeeks.org/gate/gate-exam-tutorial/,CS Core Subjects,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,66,https://www.geeksforgeeks.org/gfg-academy/geeksforgeeks-school/,School Subjects,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,67,https://www.geeksforgeeks.org/courses/category/machine-learning-data-science,ML and Data Science,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,68,https://www.geeksforgeeks.org/courses/category/dsa-placements,DSA and Placements,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,69,https://www.geeksforgeeks.org/courses/category/development-testing,Web Development,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,70,https://www.geeksforgeeks.org/courses/category/programming-languages,Programming Languages,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,71,https://www.geeksforgeeks.org/courses/category/cloud-devops,DevOps & Cloud,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,72,https://www.geeksforgeeks.org/courses/category/gate,GATE,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,73,https://www.geeksforgeeks.org/courses/category/trending-technologies/,Trending Technologies,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,74,https://www.geeksforgeeks.org/courses/offline-courses?city=noida,Noida,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,75,https://www.geeksforgeeks.org/courses/offline-courses?city=bengaluru,Bengaluru,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,76,https://www.geeksforgeeks.org/courses/offline-courses?city=pune,Pune,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,77,https://www.geeksforgeeks.org/courses/offline-courses?city=hyderabad,Hyderabad,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,78,https://www.geeksforgeeks.org/courses/offline-courses?selectedOfflineCity=Kolkata,Kolkata,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,79,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/,Aptitude,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,80,https://www.geeksforgeeks.org/aptitude/puzzles/,Puzzles,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,81,https://www.geeksforgeeks.org/courses/gfg-160-series,GfG 160,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,82,https://www.geeksforgeeks.org/system-design/system-design-tutorial/,System Design,,False
f8e90398-ad70-4a16-b42b-e07b1a2500d9,83,https://www.geeksforgeeks.org/copyright-information/,All rights reserved,,False
