image_id,page_id,image_src,image_alt,is_external,scraped_at
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_1,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/gfg-gg-logo.svg,geeksforgeeks,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_2,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-3.svg,three90 challenge,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_3,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-6.svg,step icon,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_4,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Vectors.svg,arrow,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_5,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Rectangle.svg,step icon,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_6,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/image-41.svg,step icon,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_7,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/file3.svg,Mentor,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_8,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823.svg,Personalized Feed,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_9,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-10000018241.svg,Interview Experiences,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_10,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-7.svg,Job Openings & Updates,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_11,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/Frame-1000001823-8.svg,Internship Opportunities,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_12,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20250929101624249259/tech_interview.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_13,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20251119100432783088/JBDL1.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_14,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20251010124253058806/generative-ai-training-program-.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_15,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/wp-content/uploads/20260109134146052260/devops_engineering.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_16,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/img-practice/prod/courses/221/Web/Content/cpp_1723009538.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_17,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/img-practice/prod/courses/270/Web/Content/CourseJavaProgrammin_1716371938.webp,course-img,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_18,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/gfgFooterLogo.png,GeeksforGeeks,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_19,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/img-practice/Location-1685004904.svg,location,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_20,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/googleplay-%281%29.png,GFG App on Play Store,True,2026-02-16T17:56:33.823459+00:00
67a4f40c-8249-43cc-8bd3-2ef822036dcc_img_21,67a4f40c-8249-43cc-8bd3-2ef822036dcc,https://media.geeksforgeeks.org/auth-dashboard-uploads/appstore-%281%29.png,GFG App on App Store,True,2026-02-16T17:56:33.823459+00:00
