page_id,link_number,link_url,link_text,link_title,is_external
c811e6e1-ac3f-4c91-b2a5-846591cebb26,1,https://www.geeksforgeeks.org/,,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,2,https://www.geeksforgeeks.org/dsa/dsa-tutorial-learn-data-structures-and-algorithms/,DSA,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,3,https://www.geeksforgeeks.org/explore,Practice Problems,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,4,https://www.geeksforgeeks.org/c/c-programming-language/,C,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,5,https://www.geeksforgeeks.org/cpp/c-plus-plus/,C++,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,6,https://www.geeksforgeeks.org/java/java/,Java,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,7,https://www.geeksforgeeks.org/python/python-programming-language-tutorial/,Python,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,8,https://www.geeksforgeeks.org/javascript/javascript-tutorial/,JavaScript,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,9,https://www.geeksforgeeks.org/data-science/data-science-for-beginners/,Data Science,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,10,https://www.geeksforgeeks.org/machine-learning/machine-learning/,Machine Learning,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,11,https://www.geeksforgeeks.org/courses,Courses,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,12,https://www.geeksforgeeks.org/linux-unix/linux-tutorial/,Linux,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,13,https://www.geeksforgeeks.org/devops/devops-tutorial/,DevOps,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,14,https://www.geeksforgeeks.org/courses/dsa-self-paced,DSA Online,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,15,https://www.geeksforgeeks.org/courses/data-science-live,Master DS & ML,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,16,https://www.geeksforgeeks.org/connect/home,Explore Now,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,17,https://www.geeksforgeeks.org/courses/interviewe-101-data-structures-algorithm-system-design/,4.9Tech Interview 101 - DSA and System DesignBeginner to Advanced399k+ interested GeeksGet 90% Refund,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,18,https://www.geeksforgeeks.org/courses/Java-backend-live/,4.6Java Backend Development with AI - LiveIntermediate and Advanced396k+ interested GeeksGet 90% Refund,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,19,https://www.geeksforgeeks.org/courses/generative-ai-training-program/,5.0Generative AI Training Program - LiveBeginner to Advanced42k+ interested GeeksGet 90% Refund,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,20,https://www.geeksforgeeks.org/courses/devops-live/,4.7DevOps Engineering with AI : Planning to ProductionBeginner to Advanced157k+ interested GeeksGet 90% Refund,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,21,https://www.geeksforgeeks.org/courses/cpp-programming-basic-to-advanced/,4.7C++ Programming - Self PacedBeginner to Advanced315k+ interested GeeksGet 90% Refund,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,22,https://www.geeksforgeeks.org/courses/java-online-course-complete-beginner-to-advanced/,4.6Java Programming - Self PacedBeginner to Advanced423k+ interested GeeksGet 90% Refund,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,23,https://www.geeksforgeeks.org/jobs,Jobs for you,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,24,https://www.geeksforgeeks.org/gfg-hiring-solutions-for-recruiters/,Hire with us,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,25,https://www.geeksforgeeks.org/advertise-with-us/,Advertise with Us,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,26,https://www.geeksforgeeks.org/campus-training-program/,Placement Training Program,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,27,https://www.geeksforgeeks.org/learn-data-structures-and-algorithms-dsa-tutorial/,Data Structure and AlgorithmsView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,28,https://www.geeksforgeeks.org/web-development/,Web DevelopmentView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,29,https://www.geeksforgeeks.org/ai-ml-ds/,AI ML & Data ScienceView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,30,https://www.geeksforgeeks.org/machine-learning/,Machine LearningView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,31,https://www.geeksforgeeks.org/python-programming-language/,PythonView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,32,https://www.geeksforgeeks.org/system-design-tutorial/,System DesignView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,33,https://www.geeksforgeeks.org/devops-tutorial/,DevOpsView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,34,https://www.geeksforgeeks.org/computer-science-fundamentals/programming-language-tutorials/,Programming LanguagesView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,35,https://www.geeksforgeeks.org/software-engineering/articles-on-computer-science-subjects-gq/,CS SubjectsView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,36,https://www.geeksforgeeks.org/blogs/geeksforgeeks-practice-best-online-coding-platform/,Practice DSAView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,37,https://www.geeksforgeeks.org/interview-prep/interview-corner/,Interview PreparationView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,38,https://www.geeksforgeeks.org/sql/guide-to-databases/,DatabasesView more,,False
c811e6e1-ac3f-4c91-b2a5-846591cebb26,39,https://www.geeksforgeeks.org/websites-apps/software-and-tools-a-to-z-list/,Software & ToolsView more,,False
